GeneA_HOG	GeneB_HOG
HOG0004996	HOG0013459
HOG0004996	HOG0013519
HOG0004996	HOG0013914
HOG0004996	HOG0013926
HOG0004996	HOG0014164
HOG0004996	HOG0014220
HOG0004996	HOG0014251
HOG0004996	HOG0015162
HOG0004996	HOG0015605
HOG0004997	HOG0008449
HOG0004997	HOG0009543
HOG0004997	HOG0010306
HOG0004997	HOG0010673
HOG0004997	HOG0010848
HOG0004997	HOG0010927
HOG0004997	HOG0012390
HOG0004997	HOG0014166
HOG0004997	HOG0015131
HOG0004997	HOG0016572
HOG0004997	HOG0016681
HOG0004998	HOG0005193
HOG0004998	HOG0005859
HOG0004998	HOG0006669
HOG0004998	HOG0011082
HOG0004998	HOG0011872
HOG0004998	HOG0011879
HOG0004998	HOG0012026
HOG0004998	HOG0012176
HOG0004998	HOG0012189
HOG0004998	HOG0012211
HOG0004998	HOG0012832
HOG0004998	HOG0012930
HOG0004998	HOG0012943
HOG0004998	HOG0012965
HOG0004998	HOG0013140
HOG0004998	HOG0013934
HOG0004999	HOG0010610
HOG0005001	HOG0005987
HOG0005001	HOG0010061
HOG0005008	HOG0010124
HOG0005008	HOG0010732
HOG0005009	HOG0009626
HOG0005009	HOG0011218
HOG0005010	HOG0006052
HOG0005010	HOG0007135
HOG0005010	HOG0011885
HOG0005012	HOG0005297
HOG0005012	HOG0006867
HOG0005012	HOG0008306
HOG0005012	HOG0009634
HOG0005012	HOG0009808
HOG0005012	HOG0009923
HOG0005012	HOG0011560
HOG0005012	HOG0012146
HOG0005012	HOG0012240
HOG0005012	HOG0013756
HOG0005012	HOG0013869
HOG0005012	HOG0015668
HOG0005013	HOG0005481
HOG0005013	HOG0006177
HOG0005013	HOG0006816
HOG0005013	HOG0006895
HOG0005013	HOG0007275
HOG0005013	HOG0007308
HOG0005013	HOG0007778
HOG0005013	HOG0008080
HOG0005013	HOG0009171
HOG0005013	HOG0009452
HOG0005013	HOG0009514
HOG0005013	HOG0009635
HOG0005013	HOG0010178
HOG0005013	HOG0010671
HOG0005013	HOG0010766
HOG0005013	HOG0011164
HOG0005013	HOG0012351
HOG0005013	HOG0012365
HOG0005013	HOG0012441
HOG0005013	HOG0013366
HOG0005013	HOG0014250
HOG0005013	HOG0014661
HOG0005013	HOG0014975
HOG0005013	HOG0015023
HOG0005013	HOG0015580
HOG0005015	HOG0005932
HOG0005015	HOG0010590
HOG0005016	HOG0008326
HOG0005016	HOG0008965
HOG0005016	HOG0009199
HOG0005016	HOG0009310
HOG0005016	HOG0009831
HOG0005016	HOG0012190
HOG0005019	HOG0014825
HOG0005019	HOG0015868
HOG0005022	HOG0005990
HOG0005022	HOG0006237
HOG0005022	HOG0006527
HOG0005022	HOG0010784
HOG0005022	HOG0012373
HOG0005022	HOG0014313
HOG0005024	HOG0011035
HOG0005024	HOG0011894
HOG0005024	HOG0011925
HOG0005024	HOG0013142
HOG0005024	HOG0013479
HOG0005024	HOG0013673
HOG0005024	HOG0014766
HOG0005025	HOG0005705
HOG0005025	HOG0005731
HOG0005025	HOG0006326
HOG0005025	HOG0006931
HOG0005025	HOG0007738
HOG0005025	HOG0007940
HOG0005025	HOG0009516
HOG0005025	HOG0009857
HOG0005025	HOG0011218
HOG0005025	HOG0011773
HOG0005025	HOG0012231
HOG0005025	HOG0012258
HOG0005025	HOG0012277
HOG0005025	HOG0012383
HOG0005025	HOG0013468
HOG0005025	HOG0013540
HOG0005025	HOG0013631
HOG0005025	HOG0014081
HOG0005025	HOG0014581
HOG0005025	HOG0015081
HOG0005025	HOG0015106
HOG0005025	HOG0016847
HOG0005026	HOG0006037
HOG0005026	HOG0007212
HOG0005028	HOG0007669
HOG0005028	HOG0008153
HOG0005028	HOG0008341
HOG0005028	HOG0008772
HOG0005028	HOG0009583
HOG0005028	HOG0010632
HOG0005028	HOG0010887
HOG0005028	HOG0010997
HOG0005028	HOG0011345
HOG0005028	HOG0011454
HOG0005028	HOG0011647
HOG0005028	HOG0012516
HOG0005028	HOG0012843
HOG0005028	HOG0012875
HOG0005028	HOG0013057
HOG0005028	HOG0013505
HOG0005028	HOG0013624
HOG0005028	HOG0013718
HOG0005028	HOG0014568
HOG0005032	HOG0008383
HOG0005033	HOG0007718
HOG0005034	HOG0006899
HOG0005034	HOG0007426
HOG0005034	HOG0008347
HOG0005034	HOG0008355
HOG0005034	HOG0008480
HOG0005034	HOG0009032
HOG0005034	HOG0009612
HOG0005034	HOG0010478
HOG0005034	HOG0011370
HOG0005034	HOG0011629
HOG0005034	HOG0011699
HOG0005034	HOG0013092
HOG0005034	HOG0013550
HOG0005034	HOG0013728
HOG0005034	HOG0013933
HOG0005034	HOG0014023
HOG0005034	HOG0014589
HOG0005044	HOG0008138
HOG0005044	HOG0015119
HOG0005045	HOG0008265
HOG0005045	HOG0009907
HOG0005045	HOG0011315
HOG0005046	HOG0006708
HOG0005052	HOG0005182
HOG0005052	HOG0006550
HOG0005052	HOG0006687
HOG0005052	HOG0006732
HOG0005052	HOG0006771
HOG0005052	HOG0007026
HOG0005052	HOG0007827
HOG0005052	HOG0007860
HOG0005052	HOG0007988
HOG0005052	HOG0008108
HOG0005052	HOG0008164
HOG0005052	HOG0008408
HOG0005052	HOG0008447
HOG0005052	HOG0008543
HOG0005052	HOG0008679
HOG0005052	HOG0008779
HOG0005052	HOG0008808
HOG0005052	HOG0008839
HOG0005052	HOG0008967
HOG0005052	HOG0009349
HOG0005052	HOG0009783
HOG0005052	HOG0009817
HOG0005052	HOG0009900
HOG0005052	HOG0010224
HOG0005052	HOG0010441
HOG0005052	HOG0010542
HOG0005052	HOG0010616
HOG0005052	HOG0010976
HOG0005052	HOG0011137
HOG0005052	HOG0011369
HOG0005052	HOG0011595
HOG0005052	HOG0011681
HOG0005052	HOG0011696
HOG0005052	HOG0012038
HOG0005052	HOG0012078
HOG0005052	HOG0012336
HOG0005052	HOG0012497
HOG0005052	HOG0012517
HOG0005052	HOG0012520
HOG0005052	HOG0012655
HOG0005052	HOG0013050
HOG0005052	HOG0014286
HOG0005052	HOG0015124
HOG0005052	HOG0015598
HOG0005052	HOG0016045
HOG0005053	HOG0006991
HOG0005053	HOG0007390
HOG0005053	HOG0008345
HOG0005053	HOG0008482
HOG0005053	HOG0010699
HOG0005053	HOG0012256
HOG0005053	HOG0012363
HOG0005055	HOG0005065
HOG0005055	HOG0005513
HOG0005055	HOG0005658
HOG0005055	HOG0005872
HOG0005055	HOG0006106
HOG0005055	HOG0006261
HOG0005055	HOG0006472
HOG0005055	HOG0006498
HOG0005055	HOG0006674
HOG0005055	HOG0006935
HOG0005055	HOG0007336
HOG0005055	HOG0007494
HOG0005055	HOG0007885
HOG0005055	HOG0007908
HOG0005055	HOG0009623
HOG0005055	HOG0009729
HOG0005055	HOG0010198
HOG0005055	HOG0010227
HOG0005055	HOG0010524
HOG0005055	HOG0010531
HOG0005055	HOG0010647
HOG0005055	HOG0010725
HOG0005055	HOG0011106
HOG0005055	HOG0011188
HOG0005055	HOG0011958
HOG0005055	HOG0011988
HOG0005055	HOG0012116
HOG0005055	HOG0012228
HOG0005055	HOG0012248
HOG0005055	HOG0012293
HOG0005055	HOG0012322
HOG0005055	HOG0012325
HOG0005055	HOG0012787
HOG0005055	HOG0012831
HOG0005055	HOG0013233
HOG0005055	HOG0013676
HOG0005055	HOG0014130
HOG0005055	HOG0014308
HOG0005055	HOG0014665
HOG0005055	HOG0014778
HOG0005055	HOG0015119
HOG0005055	HOG0015134
HOG0005055	HOG0015177
HOG0005056	HOG0007875
HOG0005056	HOG0012184
HOG0005059	HOG0006352
HOG0005059	HOG0006813
HOG0005059	HOG0006945
HOG0005059	HOG0007360
HOG0005059	HOG0010995
HOG0005059	HOG0013696
HOG0005062	HOG0006439
HOG0005062	HOG0013511
HOG0005065	HOG0005318
HOG0005065	HOG0005557
HOG0005065	HOG0005658
HOG0005065	HOG0005872
HOG0005065	HOG0005943
HOG0005065	HOG0006094
HOG0005065	HOG0006261
HOG0005065	HOG0006373
HOG0005065	HOG0006524
HOG0005065	HOG0006664
HOG0005065	HOG0006674
HOG0005065	HOG0006865
HOG0005065	HOG0006900
HOG0005065	HOG0006935
HOG0005065	HOG0007336
HOG0005065	HOG0007407
HOG0005065	HOG0007491
HOG0005065	HOG0007640
HOG0005065	HOG0007885
HOG0005065	HOG0007908
HOG0005065	HOG0008925
HOG0005065	HOG0008948
HOG0005065	HOG0009627
HOG0005065	HOG0009729
HOG0005065	HOG0009853
HOG0005065	HOG0010198
HOG0005065	HOG0010227
HOG0005065	HOG0010524
HOG0005065	HOG0010531
HOG0005065	HOG0010647
HOG0005065	HOG0010795
HOG0005065	HOG0010970
HOG0005065	HOG0011106
HOG0005065	HOG0011188
HOG0005065	HOG0011353
HOG0005065	HOG0011958
HOG0005065	HOG0011960
HOG0005065	HOG0011988
HOG0005065	HOG0012101
HOG0005065	HOG0012116
HOG0005065	HOG0012228
HOG0005065	HOG0012248
HOG0005065	HOG0012293
HOG0005065	HOG0012325
HOG0005065	HOG0012787
HOG0005065	HOG0012808
HOG0005065	HOG0012831
HOG0005065	HOG0012920
HOG0005065	HOG0013103
HOG0005065	HOG0013115
HOG0005065	HOG0013126
HOG0005065	HOG0013142
HOG0005065	HOG0013233
HOG0005065	HOG0013652
HOG0005065	HOG0013676
HOG0005065	HOG0013986
HOG0005065	HOG0014130
HOG0005065	HOG0014308
HOG0005065	HOG0014388
HOG0005065	HOG0014778
HOG0005065	HOG0015244
HOG0005065	HOG0015462
HOG0005065	HOG0015615
HOG0005065	HOG0015801
HOG0005066	HOG0005682
HOG0005066	HOG0009099
HOG0005066	HOG0010435
HOG0005066	HOG0010896
HOG0005066	HOG0010921
HOG0005066	HOG0011515
HOG0005066	HOG0013041
HOG0005066	HOG0013393
HOG0005067	HOG0006275
HOG0005067	HOG0009840
HOG0005067	HOG0010565
HOG0005075	HOG0016149
HOG0005078	HOG0009480
HOG0005085	HOG0008024
HOG0005119	HOG0011553
HOG0005119	HOG0016150
HOG0005126	HOG0009172
HOG0005128	HOG0006371
HOG0005128	HOG0009731
HOG0005128	HOG0014097
HOG0005128	HOG0014716
HOG0005131	HOG0005262
HOG0005131	HOG0005665
HOG0005131	HOG0008337
HOG0005131	HOG0008388
HOG0005131	HOG0008543
HOG0005131	HOG0008967
HOG0005131	HOG0009368
HOG0005131	HOG0009794
HOG0005131	HOG0009946
HOG0005131	HOG0010441
HOG0005131	HOG0010460
HOG0005131	HOG0010616
HOG0005131	HOG0010976
HOG0005131	HOG0011519
HOG0005131	HOG0011595
HOG0005131	HOG0012336
HOG0005131	HOG0013937
HOG0005131	HOG0014205
HOG0005131	HOG0014695
HOG0005131	HOG0015292
HOG0005134	HOG0008348
HOG0005134	HOG0010174
HOG0005134	HOG0016746
HOG0005135	HOG0014676
HOG0005136	HOG0007555
HOG0005137	HOG0008071
HOG0005140	HOG0007298
HOG0005140	HOG0011421
HOG0005144	HOG0005199
HOG0005144	HOG0005268
HOG0005144	HOG0005496
HOG0005144	HOG0005567
HOG0005144	HOG0005570
HOG0005144	HOG0005615
HOG0005144	HOG0005639
HOG0005144	HOG0005887
HOG0005144	HOG0005944
HOG0005144	HOG0006011
HOG0005144	HOG0006100
HOG0005144	HOG0006252
HOG0005144	HOG0006535
HOG0005144	HOG0006756
HOG0005144	HOG0006823
HOG0005144	HOG0007018
HOG0005144	HOG0007173
HOG0005144	HOG0007175
HOG0005144	HOG0007407
HOG0005144	HOG0007413
HOG0005144	HOG0007452
HOG0005144	HOG0007621
HOG0005144	HOG0007644
HOG0005144	HOG0007678
HOG0005144	HOG0007898
HOG0005144	HOG0007914
HOG0005144	HOG0007922
HOG0005144	HOG0008030
HOG0005144	HOG0008087
HOG0005144	HOG0008324
HOG0005144	HOG0008332
HOG0005144	HOG0008344
HOG0005144	HOG0008361
HOG0005144	HOG0008368
HOG0005144	HOG0008452
HOG0005144	HOG0008476
HOG0005144	HOG0008638
HOG0005144	HOG0008650
HOG0005144	HOG0008670
HOG0005144	HOG0008706
HOG0005144	HOG0008714
HOG0005144	HOG0008771
HOG0005144	HOG0008809
HOG0005144	HOG0008818
HOG0005144	HOG0008831
HOG0005144	HOG0008843
HOG0005144	HOG0008887
HOG0005144	HOG0008941
HOG0005144	HOG0008943
HOG0005144	HOG0009190
HOG0005144	HOG0009201
HOG0005144	HOG0009202
HOG0005144	HOG0009260
HOG0005144	HOG0009276
HOG0005144	HOG0009300
HOG0005144	HOG0009396
HOG0005144	HOG0009427
HOG0005144	HOG0009453
HOG0005144	HOG0009602
HOG0005144	HOG0009663
HOG0005144	HOG0009690
HOG0005144	HOG0009695
HOG0005144	HOG0009697
HOG0005144	HOG0009710
HOG0005144	HOG0009733
HOG0005144	HOG0009825
HOG0005144	HOG0009828
HOG0005144	HOG0010049
HOG0005144	HOG0010084
HOG0005144	HOG0010170
HOG0005144	HOG0010186
HOG0005144	HOG0010206
HOG0005144	HOG0010207
HOG0005144	HOG0010243
HOG0005144	HOG0010489
HOG0005144	HOG0010563
HOG0005144	HOG0010602
HOG0005144	HOG0010705
HOG0005144	HOG0010839
HOG0005144	HOG0011075
HOG0005144	HOG0011094
HOG0005144	HOG0011543
HOG0005144	HOG0011661
HOG0005144	HOG0011677
HOG0005144	HOG0011720
HOG0005144	HOG0011867
HOG0005144	HOG0011923
HOG0005144	HOG0011972
HOG0005144	HOG0012100
HOG0005144	HOG0012179
HOG0005144	HOG0012292
HOG0005144	HOG0012321
HOG0005144	HOG0012565
HOG0005144	HOG0012807
HOG0005144	HOG0012975
HOG0005144	HOG0013105
HOG0005144	HOG0013181
HOG0005144	HOG0013400
HOG0005144	HOG0013412
HOG0005144	HOG0013429
HOG0005144	HOG0013447
HOG0005144	HOG0013524
HOG0005144	HOG0013570
HOG0005144	HOG0013609
HOG0005144	HOG0013625
HOG0005144	HOG0013652
HOG0005144	HOG0013782
HOG0005144	HOG0013953
HOG0005144	HOG0014037
HOG0005144	HOG0014166
HOG0005144	HOG0014508
HOG0005144	HOG0014732
HOG0005144	HOG0015068
HOG0005144	HOG0015091
HOG0005144	HOG0015145
HOG0005144	HOG0015164
HOG0005144	HOG0015397
HOG0005144	HOG0015781
HOG0005144	HOG0016108
HOG0005144	HOG0016564
HOG0005152	HOG0012105
HOG0005153	HOG0013904
HOG0005157	HOG0009138
HOG0005157	HOG0012071
HOG0005157	HOG0013641
HOG0005157	HOG0013731
HOG0005157	HOG0013933
HOG0005157	HOG0014589
HOG0005158	HOG0010821
HOG0005158	HOG0014665
HOG0005158	HOG0014706
HOG0005158	HOG0015074
HOG0005160	HOG0006811
HOG0005160	HOG0007706
HOG0005160	HOG0014249
HOG0005160	HOG0014986
HOG0005161	HOG0005894
HOG0005161	HOG0006570
HOG0005161	HOG0006994
HOG0005161	HOG0007105
HOG0005161	HOG0007259
HOG0005161	HOG0008095
HOG0005161	HOG0008349
HOG0005161	HOG0008480
HOG0005161	HOG0008745
HOG0005161	HOG0009640
HOG0005161	HOG0011315
HOG0005161	HOG0011594
HOG0005161	HOG0011932
HOG0005161	HOG0012044
HOG0005161	HOG0012383
HOG0005161	HOG0012502
HOG0005161	HOG0013021
HOG0005161	HOG0013741
HOG0005161	HOG0014269
HOG0005161	HOG0014731
HOG0005161	HOG0015062
HOG0005166	HOG0006777
HOG0005166	HOG0011100
HOG0005167	HOG0007310
HOG0005167	HOG0008099
HOG0005167	HOG0009429
HOG0005169	HOG0011034
HOG0005169	HOG0014933
HOG0005172	HOG0008608
HOG0005172	HOG0008803
HOG0005172	HOG0013092
HOG0005172	HOG0013573
HOG0005172	HOG0014055
HOG0005173	HOG0010145
HOG0005173	HOG0011317
HOG0005173	HOG0011832
HOG0005173	HOG0014975
HOG0005174	HOG0006696
HOG0005174	HOG0008044
HOG0005174	HOG0010716
HOG0005174	HOG0010885
HOG0005176	HOG0007542
HOG0005176	HOG0010371
HOG0005176	HOG0010469
HOG0005176	HOG0010694
HOG0005176	HOG0014122
HOG0005177	HOG0007513
HOG0005177	HOG0009404
HOG0005179	HOG0005567
HOG0005179	HOG0005658
HOG0005179	HOG0006056
HOG0005179	HOG0006074
HOG0005179	HOG0006094
HOG0005179	HOG0007336
HOG0005179	HOG0008299
HOG0005179	HOG0008324
HOG0005179	HOG0008611
HOG0005179	HOG0009260
HOG0005179	HOG0009301
HOG0005179	HOG0009313
HOG0005179	HOG0009381
HOG0005179	HOG0009623
HOG0005179	HOG0009627
HOG0005179	HOG0009678
HOG0005179	HOG0009828
HOG0005179	HOG0010170
HOG0005179	HOG0010198
HOG0005179	HOG0010340
HOG0005179	HOG0010402
HOG0005179	HOG0010647
HOG0005179	HOG0010794
HOG0005179	HOG0011126
HOG0005179	HOG0011645
HOG0005179	HOG0011673
HOG0005179	HOG0011849
HOG0005179	HOG0011851
HOG0005179	HOG0011993
HOG0005179	HOG0012101
HOG0005179	HOG0012116
HOG0005179	HOG0012187
HOG0005179	HOG0012240
HOG0005179	HOG0012293
HOG0005179	HOG0012613
HOG0005179	HOG0012894
HOG0005179	HOG0013109
HOG0005179	HOG0013262
HOG0005179	HOG0013438
HOG0005179	HOG0013722
HOG0005179	HOG0013864
HOG0005179	HOG0013877
HOG0005179	HOG0013952
HOG0005179	HOG0013998
HOG0005179	HOG0014092
HOG0005179	HOG0014130
HOG0005179	HOG0014373
HOG0005179	HOG0014778
HOG0005179	HOG0015145
HOG0005179	HOG0015164
HOG0005179	HOG0015462
HOG0005179	HOG0015602
HOG0005179	HOG0016042
HOG0005179	HOG0016672
HOG0005179	HOG0017254
HOG0005182	HOG0006550
HOG0005182	HOG0006732
HOG0005182	HOG0006771
HOG0005182	HOG0007178
HOG0005182	HOG0007827
HOG0005182	HOG0007860
HOG0005182	HOG0008108
HOG0005182	HOG0008164
HOG0005182	HOG0008408
HOG0005182	HOG0008447
HOG0005182	HOG0008543
HOG0005182	HOG0008679
HOG0005182	HOG0008779
HOG0005182	HOG0008808
HOG0005182	HOG0008967
HOG0005182	HOG0009098
HOG0005182	HOG0009783
HOG0005182	HOG0009817
HOG0005182	HOG0009900
HOG0005182	HOG0009946
HOG0005182	HOG0010224
HOG0005182	HOG0010441
HOG0005182	HOG0010616
HOG0005182	HOG0010976
HOG0005182	HOG0011137
HOG0005182	HOG0011369
HOG0005182	HOG0011595
HOG0005182	HOG0012078
HOG0005182	HOG0012336
HOG0005182	HOG0012517
HOG0005182	HOG0012520
HOG0005182	HOG0012655
HOG0005182	HOG0013050
HOG0005182	HOG0013292
HOG0005182	HOG0013473
HOG0005182	HOG0013706
HOG0005182	HOG0014205
HOG0005182	HOG0015018
HOG0005182	HOG0015464
HOG0005182	HOG0015500
HOG0005183	HOG0005705
HOG0005183	HOG0006580
HOG0005183	HOG0007027
HOG0005183	HOG0009751
HOG0005183	HOG0012892
HOG0005184	HOG0011828
HOG0005184	HOG0014940
HOG0005184	HOG0015060
HOG0005185	HOG0007483
HOG0005185	HOG0008347
HOG0005185	HOG0009405
HOG0005185	HOG0009649
HOG0005185	HOG0009805
HOG0005185	HOG0010102
HOG0005185	HOG0011175
HOG0005185	HOG0011936
HOG0005185	HOG0012370
HOG0005185	HOG0013355
HOG0005185	HOG0014096
HOG0005186	HOG0005615
HOG0005186	HOG0005639
HOG0005186	HOG0005710
HOG0005186	HOG0006011
HOG0005186	HOG0006535
HOG0005186	HOG0006762
HOG0005186	HOG0007027
HOG0005186	HOG0007030
HOG0005186	HOG0007175
HOG0005186	HOG0007621
HOG0005186	HOG0007754
HOG0005186	HOG0007787
HOG0005186	HOG0007857
HOG0005186	HOG0007922
HOG0005186	HOG0008087
HOG0005186	HOG0008361
HOG0005186	HOG0008449
HOG0005186	HOG0008504
HOG0005186	HOG0008670
HOG0005186	HOG0008706
HOG0005186	HOG0008827
HOG0005186	HOG0008843
HOG0005186	HOG0008887
HOG0005186	HOG0009080
HOG0005186	HOG0009159
HOG0005186	HOG0009201
HOG0005186	HOG0009345
HOG0005186	HOG0009453
HOG0005186	HOG0009585
HOG0005186	HOG0009602
HOG0005186	HOG0009663
HOG0005186	HOG0009690
HOG0005186	HOG0009697
HOG0005186	HOG0009765
HOG0005186	HOG0009825
HOG0005186	HOG0009857
HOG0005186	HOG0010059
HOG0005186	HOG0010332
HOG0005186	HOG0010489
HOG0005186	HOG0010617
HOG0005186	HOG0010927
HOG0005186	HOG0011075
HOG0005186	HOG0011661
HOG0005186	HOG0011753
HOG0005186	HOG0012321
HOG0005186	HOG0012494
HOG0005186	HOG0013105
HOG0005186	HOG0013646
HOG0005186	HOG0014111
HOG0005186	HOG0014166
HOG0005186	HOG0014659
HOG0005186	HOG0015625
HOG0005187	HOG0006148
HOG0005187	HOG0006158
HOG0005187	HOG0007657
HOG0005187	HOG0007702
HOG0005187	HOG0007848
HOG0005187	HOG0009760
HOG0005187	HOG0010184
HOG0005187	HOG0010413
HOG0005187	HOG0010582
HOG0005187	HOG0010603
HOG0005187	HOG0010782
HOG0005187	HOG0010799
HOG0005187	HOG0010906
HOG0005187	HOG0012254
HOG0005187	HOG0012264
HOG0005187	HOG0012399
HOG0005187	HOG0012411
HOG0005187	HOG0012506
HOG0005187	HOG0012636
HOG0005187	HOG0013231
HOG0005187	HOG0013291
HOG0005187	HOG0013377
HOG0005187	HOG0013991
HOG0005187	HOG0015423
HOG0005187	HOG0015575
HOG0005188	HOG0009130
HOG0005188	HOG0011591
HOG0005189	HOG0009605
HOG0005189	HOG0011936
HOG0005189	HOG0012526
HOG0005189	HOG0015446
HOG0005190	HOG0007660
HOG0005190	HOG0007769
HOG0005190	HOG0010765
HOG0005190	HOG0010825
HOG0005190	HOG0011872
HOG0005190	HOG0013644
HOG0005190	HOG0014853
HOG0005191	HOG0011131
HOG0005191	HOG0011730
HOG0005191	HOG0012471
HOG0005191	HOG0013040
HOG0005191	HOG0013560
HOG0005193	HOG0005859
HOG0005193	HOG0006892
HOG0005193	HOG0007808
HOG0005193	HOG0009625
HOG0005193	HOG0011639
HOG0005193	HOG0013784
HOG0005197	HOG0012331
HOG0005198	HOG0007678
HOG0005199	HOG0005268
HOG0005199	HOG0005570
HOG0005199	HOG0005615
HOG0005199	HOG0005639
HOG0005199	HOG0005725
HOG0005199	HOG0005887
HOG0005199	HOG0006011
HOG0005199	HOG0006100
HOG0005199	HOG0006252
HOG0005199	HOG0006535
HOG0005199	HOG0006673
HOG0005199	HOG0007173
HOG0005199	HOG0007175
HOG0005199	HOG0007407
HOG0005199	HOG0007413
HOG0005199	HOG0007452
HOG0005199	HOG0007621
HOG0005199	HOG0007644
HOG0005199	HOG0007922
HOG0005199	HOG0007965
HOG0005199	HOG0008030
HOG0005199	HOG0008087
HOG0005199	HOG0008324
HOG0005199	HOG0008344
HOG0005199	HOG0008357
HOG0005199	HOG0008361
HOG0005199	HOG0008368
HOG0005199	HOG0008452
HOG0005199	HOG0008476
HOG0005199	HOG0008504
HOG0005199	HOG0008638
HOG0005199	HOG0008650
HOG0005199	HOG0008670
HOG0005199	HOG0008706
HOG0005199	HOG0008818
HOG0005199	HOG0008843
HOG0005199	HOG0008887
HOG0005199	HOG0008943
HOG0005199	HOG0009074
HOG0005199	HOG0009080
HOG0005199	HOG0009190
HOG0005199	HOG0009201
HOG0005199	HOG0009300
HOG0005199	HOG0009396
HOG0005199	HOG0009453
HOG0005199	HOG0009585
HOG0005199	HOG0009602
HOG0005199	HOG0009690
HOG0005199	HOG0009695
HOG0005199	HOG0009697
HOG0005199	HOG0009710
HOG0005199	HOG0009733
HOG0005199	HOG0009825
HOG0005199	HOG0009828
HOG0005199	HOG0010095
HOG0005199	HOG0010170
HOG0005199	HOG0010186
HOG0005199	HOG0010206
HOG0005199	HOG0010332
HOG0005199	HOG0010487
HOG0005199	HOG0010489
HOG0005199	HOG0010602
HOG0005199	HOG0010705
HOG0005199	HOG0010839
HOG0005199	HOG0010897
HOG0005199	HOG0011075
HOG0005199	HOG0011076
HOG0005199	HOG0011094
HOG0005199	HOG0011661
HOG0005199	HOG0011720
HOG0005199	HOG0011867
HOG0005199	HOG0011923
HOG0005199	HOG0011972
HOG0005199	HOG0012179
HOG0005199	HOG0012292
HOG0005199	HOG0012321
HOG0005199	HOG0012494
HOG0005199	HOG0012807
HOG0005199	HOG0012808
HOG0005199	HOG0013105
HOG0005199	HOG0013183
HOG0005199	HOG0013429
HOG0005199	HOG0013570
HOG0005199	HOG0013652
HOG0005199	HOG0013704
HOG0005199	HOG0013782
HOG0005199	HOG0013813
HOG0005199	HOG0013953
HOG0005199	HOG0013978
HOG0005199	HOG0014037
HOG0005199	HOG0014166
HOG0005199	HOG0014524
HOG0005199	HOG0014571
HOG0005199	HOG0015145
HOG0005199	HOG0015164
HOG0005199	HOG0015397
HOG0005199	HOG0015625
HOG0005199	HOG0016320
HOG0005202	HOG0007160
HOG0005202	HOG0007914
HOG0005202	HOG0008809
HOG0005202	HOG0009483
HOG0005203	HOG0007886
HOG0005203	HOG0012858
HOG0005205	HOG0007763
HOG0005205	HOG0014963
HOG0005209	HOG0006581
HOG0005209	HOG0007007
HOG0005209	HOG0008050
HOG0005209	HOG0008154
HOG0005209	HOG0008961
HOG0005209	HOG0009694
HOG0005209	HOG0010354
HOG0005209	HOG0010863
HOG0005209	HOG0011485
HOG0005209	HOG0011537
HOG0005209	HOG0012574
HOG0005209	HOG0012889
HOG0005209	HOG0013104
HOG0005209	HOG0013687
HOG0005210	HOG0006986
HOG0005210	HOG0008562
HOG0005210	HOG0011888
HOG0005210	HOG0013586
HOG0005210	HOG0013799
HOG0005210	HOG0013876
HOG0005210	HOG0014136
HOG0005210	HOG0014523
HOG0005210	HOG0014842
HOG0005210	HOG0015121
HOG0005213	HOG0005540
HOG0005213	HOG0009556
HOG0005213	HOG0011581
HOG0005213	HOG0012848
HOG0005213	HOG0013350
HOG0005214	HOG0005664
HOG0005214	HOG0005798
HOG0005214	HOG0008307
HOG0005214	HOG0014960
HOG0005214	HOG0015719
HOG0005214	HOG0016740
HOG0005217	HOG0006333
HOG0005217	HOG0010130
HOG0005217	HOG0010385
HOG0005217	HOG0011131
HOG0005217	HOG0011591
HOG0005217	HOG0014789
HOG0005217	HOG0015497
HOG0005222	HOG0007716
HOG0005222	HOG0009942
HOG0005222	HOG0011841
HOG0005222	HOG0012868
HOG0005222	HOG0015015
HOG0005222	HOG0015215
HOG0005225	HOG0006493
HOG0005225	HOG0013156
HOG0005225	HOG0015195
HOG0005227	HOG0009375
HOG0005230	HOG0005705
HOG0005230	HOG0012797
HOG0005230	HOG0014939
HOG0005230	HOG0015771
HOG0005232	HOG0012815
HOG0005232	HOG0013933
HOG0005232	HOG0014102
HOG0005240	HOG0010371
HOG0005243	HOG0007179
HOG0005243	HOG0007287
HOG0005243	HOG0007984
HOG0005243	HOG0008231
HOG0005243	HOG0008738
HOG0005243	HOG0008740
HOG0005243	HOG0008851
HOG0005243	HOG0011039
HOG0005243	HOG0011810
HOG0005243	HOG0012345
HOG0005243	HOG0012967
HOG0005243	HOG0013378
HOG0005244	HOG0006509
HOG0005244	HOG0008359
HOG0005244	HOG0012558
HOG0005245	HOG0014386
HOG0005247	HOG0010779
HOG0005248	HOG0008958
HOG0005248	HOG0009400
HOG0005248	HOG0010359
HOG0005248	HOG0010719
HOG0005248	HOG0011168
HOG0005248	HOG0012636
HOG0005248	HOG0013456
HOG0005248	HOG0015567
HOG0005251	HOG0007745
HOG0005251	HOG0007885
HOG0005251	HOG0010130
HOG0005251	HOG0010954
HOG0005251	HOG0011690
HOG0005251	HOG0012059
HOG0005251	HOG0013504
HOG0005251	HOG0014850
HOG0005252	HOG0014746
HOG0005255	HOG0009759
HOG0005261	HOG0009917
HOG0005261	HOG0009948
HOG0005261	HOG0011372
HOG0005261	HOG0011397
