HOG_ID	Node_labels	color	Functional_category	Functional_cat_code	Comprehensive_ID
HOG0005495	NA	gray	Other	2	Atha__AT2G39200, Atha__AT1G61560, Atha__AT1G11310
HOG0005496	NA	gray	Other	2	Atha__AT2G39300, Atha__AT3G55060
HOG0005497	NA	NA	NA	4	HOG0005497
HOG0005499	NA	gray	Other	2	Atha__AT2G20780
HOG0005505	NA	gray	Other	2	Atha__AT2G41790, Atha__AT3G57470
HOG0005510	NA	Green	Plastid	3	Atha__AT4G00370
HOG0005511	NA	Green	Plastid	3	Atha__AT2G29650
HOG0005513	NA	Green	Plastid	3	Atha__AT5G11480
HOG0005514	NA	red	Mitochondria	1	Atha__AT2G22870
HOG0005515	NA	gray	Other	2	Atha__AT2G17570
HOG0005516	NA	Green	Plastid	3	Atha__AT1G58290, Atha__AT1G09940, Atha__AT2G31250
HOG0005520	NA	gray	Other	2	Atha__AT2G16485, Atha__AT3G51120
HOG0005522	NA	gray	Other	2	Atha__AT1G64180, Atha__AT5G41620, Atha__AT2G46250
HOG0005523	NA	gray	Other	2	Atha__AT2G31200
HOG0005527	NA	gray	Other	2	Atha__AT4G34940, Atha__AT4G36030, Atha__AT5G66200
HOG0005530	NA	gray	Other	2	Atha__AT4G05160
HOG0005535	NA	gray	Other	2	Atha__AT1G60440, Atha__AT4G32180
HOG0005536	NA	gray	Other	2	Atha__AT1G03280, Atha__AT4G20340, Atha__AT4G20810
HOG0005539	NA	gray	Other	2	Atha__AT1G65520, Atha__AT4G14430, Atha__AT4G14440
HOG0005540	NA	gray	Other	2	Atha__AT1G35490, Atha__AT4G06598, Atha__AT1G58110
HOG0005541	NA	gray	Other	2	Atha__AT3G05390
HOG0005542	NA	gray	Other	2	Atha__AT4G01240
HOG0005543	NA	Green	Plastid	3	Atha__AT3G54640
HOG0005545	NA	gray	Other	2	Atha__AT4G16144
HOG0005547	NA	gray	Other	2	Atha__AT1G03350, Atha__AT4G13110
HOG0005550	NA	gray	Other	2	Atha__AT4G17310, Atha__AT5G47455
HOG0005551	NA	gray	Other	2	Atha__AT4G32510, Atha__AT1G74810, Atha__AT1G15460
HOG0005552	NA	gray	Other	2	Atha__AT4G38540, Atha__AT5G05320
HOG0005553	NA	gray	Other	2	Atha__AT1G47056, Atha__AT4G07400, Atha__AT3G50080, Atha__AT5G67250
HOG0005555	NA	gray	Other	2	Atha__AT4G28080
HOG0005556	NA	gray	Other	2	Atha__AT4G24530, Atha__AT5G65470
HOG0005557	NA	gray	Other	2	Atha__AT4G36860, Atha__AT1G19270
HOG0005558	NA	gray	Other	2	Atha__AT1G60970, Atha__AT4G08520, Atha__AT3G09800
HOG0005559	NA	Green	Plastid	3	Atha__AT3G23920
HOG0005560	NA	Green	Plastid	3	Atha__AT4G17090
HOG0005561	NA	red	Mitochondria	1	Atha__AT4G24200
HOG0005567	NA	gray	Other	2	Atha__AT4G39860, Atha__AT1G78150, Atha__AT1G35780
HOG0005570	NA	gray	Other	2	Atha__AT4G22755, Atha__AT4G22756, Atha__AT4G12110
HOG0005571	NA	Green	Plastid	3	Atha__AT4G38510, Atha__AT1G76030, Atha__AT1G20260
HOG0005573	NA	gray	Other	2	Atha__AT4G28500, Atha__AT1G28470
HOG0005577	NA	gray	Other	2	Atha__AT4G24400
HOG0005579	NA	gray	Other	2	Atha__AT1G09730, Atha__AT4G33620
HOG0005584	NA	gray	Other	2	Atha__AT1G79930, Atha__AT1G79920
HOG0005588	NA	gray	Other	2	Atha__AT1G09483, Atha__AT1G09470, Atha__AT3G05830, Atha__AT5G26770
HOG0005590	NA	gray	Other	2	Atha__AT3G62220, Atha__AT3G17410, Atha__AT1G48220, Atha__AT1G48210
HOG0005591	NA	gray	Other	2	Atha__AT1G26590, Atha__AT1G26610
HOG0005592	NA	Green	Plastid	3	Atha__AT1G35290, Atha__AT1G35250, Atha__AT1G68260, Atha__AT1G68280
HOG0005593	NA	gray	Other	2	Atha__AT1G72490, Atha__AT1G17400, Atha__AT1G19115
HOG0005594	NA	gray	Other	2	Atha__AT5G42000, Atha__AT1G01230
HOG0005596	NA	gray	Other	2	Atha__AT1G67730
HOG0005597	NA	gray	Other	2	Atha__AT1G29370, Atha__AT1G29350
HOG0005603	NA	gray	Other	2	Atha__AT5G22390
HOG0005604	NA	gray	Other	2	Atha__AT1G34120, Atha__AT1G71710
HOG0005605	NA	red	Mitochondria	1	Atha__AT1G36370, Atha__AT1G22020
HOG0005606	NA	gray	Other	2	Atha__AT1G08230
HOG0005608	NA	gray	Other	2	Atha__AT5G10190, Atha__AT1G78130
HOG0005611	NA	gray	Other	2	Atha__AT1G55690
HOG0005614	NA	gray	Other	2	Atha__AT3G19950, Atha__AT1G50350
HOG0005615	NA	gray	Other	2	Atha__AT1G03960, Atha__AT1G54450, Atha__AT5G28850, Atha__AT5G28900
HOG0005626	NA	gray	Other	2	Atha__AT1G19120, Atha__AT3G14080
HOG0005630	NA	gray	Other	2	Atha__AT1G62400
HOG0005631	NA	NA	NA	4	HOG0005631
HOG0005633	NA	Green	Plastid	3	Atha__AT1G05610
HOG0005636	NA	gray	Other	2	Atha__AT1G21722
HOG0005638	NA	gray	Other	2	Atha__AT5G51950, Atha__AT3G56060, Atha__AT5G51930, Atha__AT1G12570
HOG0005639	NA	gray	Other	2	Atha__AT1G09000, Atha__AT1G54960, Atha__AT3G06030
HOG0005641	NA	NA	NA	4	HOG0005641
HOG0005644	NA	gray	Other	2	Atha__AT5G42020, Atha__AT5G28540
HOG0005647	NA	gray	Other	2	Atha__AT1G23220
HOG0005653	NA	gray	Other	2	Atha__AT1G08370
HOG0005657	NA	gray	Other	2	Atha__AT1G58030, Atha__AT5G36940, Atha__AT3G03720
HOG0005658	NA	red	Mitochondria	1	Atha__AT1G07770, Atha__AT5G59850, Atha__AT3G46040
HOG0005659	NA	gray	Other	2	Atha__AT1G79870
HOG0005660	NA	gray	Other	2	Atha__AT1G04090, Atha__AT5G43950, Atha__AT3G04350, Atha__AT5G18490
HOG0005661	NA	gray	Other	2	Atha__AT1G14180
HOG0005663	NA	gray	Other	2	Atha__AT1G80530
HOG0005664	NA	gray	Other	2	Atha__AT1G53570
HOG0005665	NA	Green	Plastid	3	Atha__AT1G16690, Atha__AT1G79020
HOG0005666	NA	NA	NA	4	HOG0005666
HOG0005667	NA	gray	Other	2	Atha__AT1G51940
HOG0005669	NA	gray	Other	2	Atha__AT1G25580
HOG0005675	NA	gray	Other	2	Atha__AT3G29000, Atha__AT5G39670
HOG0005676	NA	gray	Other	2	Atha__AT3G45010, Atha__AT5G22980, Atha__AT3G10410
HOG0005677	NA	gray	Other	2	Atha__AT3G53830, Atha__AT3G55580
HOG0005682	NA	Green	Plastid	3	Atha__AT3G04910, Atha__AT5G28080
HOG0005684	NA	gray	Other	2	Atha__AT3G26890, Atha__AT5G41110
HOG0005686	NA	gray	Other	2	Atha__AT5G55830
HOG0005687	NA	gray	Other	2	Atha__AT5G03140, Atha__AT3G53380
HOG0005690	NA	gray	Other	2	Atha__AT3G07360
HOG0005693	NA	gray	Other	2	Atha__AT3G01140, Atha__AT5G15310
HOG0005695	NA	gray	Other	2	Atha__AT3G46460, Atha__AT5G59300
HOG0005697	NA	gray	Other	2	Atha__AT3G62550
HOG0005698	NA	NA	NA	4	HOG0005698
HOG0005699	NA	gray	Other	2	Atha__AT3G06120
HOG0005702	NA	red	Mitochondria	1	Atha__AT3G55410, Atha__AT5G65750
HOG0005705	NA	gray	Other	2	Atha__AT3G45280, Atha__AT3G09740
HOG0005706	NA	gray	Other	2	Atha__AT5G14090, Atha__AT3G27025
HOG0005708	NA	gray	Other	2	Atha__AT3G21630
HOG0005710	NA	gray	Other	2	Atha__AT5G02070, Atha__AT3G53840
HOG0005714	NA	gray	Other	2	Atha__AT3G19770, Atha__AT5G09320
HOG0005715	NA	gray	Other	2	Atha__AT3G03900
HOG0005717	NA	gray	Other	2	Atha__AT3G45090, Atha__AT5G60760
HOG0005719	NA	red	Mitochondria	1	Atha__AT5G32470
HOG0005722	NA	Green	Plastid	3	Atha__AT5G46290
HOG0005725	NA	gray	Other	2	Atha__AT5G61790, Atha__AT5G07340
HOG0005728	NA	gray	Other	2	Atha__AT5G12960, Atha__AT5G12950
HOG0005730	NA	gray	Other	2	Atha__AT5G01960
HOG0005731	NA	red	Mitochondria	1	Atha__AT5G48030
HOG0005738	NA	gray	Other	2	Atha__AT5G27970
HOG0005739	NA	gray	Other	2	Atha__AT5G60040
HOG0005747	NA	NA	NA	4	HOG0005747
HOG0005748	NA	NA	NA	4	HOG0005748
HOG0005798	NA	gray	Other	2	Atha__AT5G45030, Atha__AT2G35155
HOG0005806	NA	gray	Other	2	Atha__AT2G26530, Atha__AT2G15760
HOG0005812	NA	Green	Plastid	3	Atha__AT3G04230, Atha__AT2G09990, Atha__AT5G18380
HOG0005821	NA	gray	Other	2	Atha__AT3G09360, Atha__AT2G01280, Atha__AT2G45100, Atha__AT1G30455
HOG0005823	NA	gray	Other	2	Atha__AT3G07990, Atha__AT2G35780, Atha__AT2G35770
HOG0005829	NA	gray	Other	2	Atha__AT2G16050
HOG0005832	NA	gray	Other	2	Atha__AT2G46140, Atha__AT1G01470
HOG0005833	NA	gray	Other	2	Atha__AT3G15920, Atha__AT2G25350, Atha__AT4G32160
HOG0005835	NA	Green	Plastid	3	Atha__AT2G39730
HOG0005837	NA	gray	Other	2	Atha__AT2G26200
HOG0005838	NA	gray	Other	2	Atha__AT2G40820, Atha__AT3G56480, Atha__AT2G26770
HOG0005839	NA	red	Mitochondria	1	Atha__AT5G43140, Atha__AT2G14860, Atha__AT4G33905
HOG0005840	NA	gray	Other	2	Atha__AT2G37250, Atha__AT2G39270
HOG0005841	NA	gray	Other	2	Atha__AT2G28080, Atha__AT2G36970
HOG0005842	NA	gray	Other	2	Atha__AT4G25390, Atha__AT5G51770, Atha__AT2G45590
HOG0005844	NA	gray	Other	2	Atha__AT2G01080
HOG0005847	NA	gray	Other	2	Atha__AT2G43070, Atha__AT1G05820
HOG0005852	NA	red	Mitochondria	1	Atha__AT2G45250, Atha__AT4G38280
HOG0005853	NA	Green	Plastid	3	Atha__AT5G57690, Atha__AT2G18730, Atha__AT4G30340
HOG0005854	NA	gray	Other	2	Atha__AT3G55920, Atha__AT2G29960, Atha__AT5G58710
HOG0005859	NA	gray	Other	2	Atha__AT2G44070, Atha__AT5G38640
HOG0005860	NA	NA	NA	4	HOG0005860
HOG0005861	NA	red	Mitochondria	1	Atha__AT2G29990, Atha__AT1G07180
HOG0005864	NA	gray	Other	2	Atha__AT2G19730, Atha__AT4G29410
HOG0005868	NA	gray	Other	2	Atha__AT2G33530, Atha__AT1G28110
HOG0005869	NA	gray	Other	2	Atha__AT2G44230, Atha__AT2G44260, Atha__AT3G01880, Atha__AT3G01870
HOG0005870	NA	gray	Other	2	Atha__AT2G46800, Atha__AT3G61940, Atha__AT3G58810
HOG0005871	NA	gray	Other	2	Atha__AT2G44740, Atha__AT5G61650, Atha__AT5G07450
HOG0005872	NA	NA	NA	4	HOG0005872
HOG0005879	NA	gray	Other	2	Atha__AT2G29390, Atha__AT1G07420
HOG0005880	NA	gray	Other	2	Atha__AT2G35160, Atha__AT2G22740
HOG0005882	NA	gray	Other	2	Atha__AT4G38590, Atha__AT2G16730, Atha__AT4G35010
HOG0005883	NA	gray	Other	2	Atha__AT2G46270, Atha__AT4G01120
HOG0005884	NA	gray	Other	2	Atha__AT3G54800, Atha__AT2G28320
HOG0005885	NA	Green	Plastid	3	Atha__AT2G03280, Atha__AT1G14020
HOG0005886	NA	gray	Other	2	Atha__AT2G40270, Atha__AT3G56050
HOG0005887	NA	gray	Other	2	Atha__AT2G24360, Atha__AT4G31170
HOG0005889	NA	red	Mitochondria	1	Atha__AT1G25380
HOG0005890	NA	Green	Plastid	3	Atha__AT3G44720, Atha__AT5G22630, Atha__AT2G27820, Atha__AT1G08250
HOG0005891	NA	Green	Plastid	3	Atha__AT2G37930, Atha__AT5G01030, Atha__AT2G29510, Atha__AT5G59020
HOG0005893	NA	gray	Other	2	Atha__AT1G79760
HOG0005894	NA	gray	Other	2	Atha__AT2G38500
HOG0005898	NA	Green	Plastid	3	Atha__AT3G08940, Atha__AT5G01530, Atha__AT2G40100
HOG0005902	NA	NA	NA	4	HOG0005902
HOG0005904	NA	Green	Plastid	3	Atha__AT5G06990
HOG0005907	NA	gray	Other	2	Atha__AT2G24070, Atha__AT4G30740, Atha__AT4G30710
HOG0005912	NA	gray	Other	2	Atha__AT5G66170, Atha__AT2G21045
HOG0005918	NA	Green	Plastid	3	Atha__AT2G21660, Atha__AT4G39260
HOG0005919	NA	gray	Other	2	Atha__AT2G20110, Atha__AT4G29000
HOG0005920	NA	gray	Other	2	Atha__AT3G44150, Atha__AT3G11800, Atha__AT2G15910
HOG0005921	NA	gray	Other	2	Atha__AT3G51250, Atha__AT2G17840, Atha__AT4G35985
HOG0005923	NA	gray	Other	2	Atha__AT4G22350, Atha__AT4G22410, Atha__AT4G22285
HOG0005925	NA	gray	Other	2	Atha__AT4G15410
HOG0005926	NA	gray	Other	2	Atha__AT4G36640, Atha__AT1G75170
HOG0005927	NA	gray	Other	2	Atha__AT1G78700, Atha__AT4G18890
HOG0005931	NA	gray	Other	2	Atha__AT5G52550, Atha__AT4G25670, Atha__AT4G25690
HOG0005933	NA	NA	NA	4	HOG0005933
HOG0005934	NA	gray	Other	2	Atha__AT4G21790
HOG0005935	NA	gray	Other	2	Atha__AT4G08160, Atha__AT1G10050, Atha__AT1G58370
HOG0005937	NA	Green	Plastid	3	Atha__AT5G61560, Atha__AT5G61550, Atha__AT4G25160, Atha__AT5G51270
HOG0005939	NA	red	Mitochondria	1	Atha__AT4G14230, Atha__AT4G14240
HOG0005943	NA	gray	Other	2	Atha__AT4G33330
HOG0005944	NA	gray	Other	2	Atha__AT4G09810, Atha__AT1G34020, Atha__AT4G39390
HOG0005945	NA	gray	Other	2	Atha__AT4G38260
HOG0005946	NA	gray	Other	2	Atha__AT4G00770, Atha__AT4G23020, Atha__AT4G11780
HOG0005947	NA	gray	Other	2	Atha__AT1G55530, Atha__AT3G13430, Atha__AT4G26400, Atha__AT5G56340
HOG0005949	NA	gray	Other	2	Atha__AT4G39160
HOG0005950	NA	gray	Other	2	Atha__AT4G25040
HOG0005951	NA	Green	Plastid	3	Atha__AT1G11520, Atha__AT4G21660
HOG0005953	NA	Green	Plastid	3	Atha__AT1G62180, Atha__AT4G21990, Atha__AT4G04610
HOG0005954	NA	Green	Plastid	3	Atha__AT4G39680
HOG0005956	NA	gray	Other	2	Atha__AT4G24220
HOG0005972	NA	gray	Other	2	Atha__AT4G38630
HOG0005975	NA	gray	Other	2	Atha__AT5G24790, Atha__AT5G10580, Atha__AT4G31330
HOG0005981	NA	gray	Other	2	Atha__AT3G45870, Atha__AT4G19185, Atha__AT5G45370
HOG0005984	NA	gray	Other	2	Atha__AT4G04680, Atha__AT5G27010, Atha__AT5G06350
HOG0005986	NA	gray	Other	2	Atha__AT4G37630
HOG0005987	NA	gray	Other	2	Atha__AT4G24510, Atha__AT4G13840, Atha__AT3G23840
HOG0005989	NA	gray	Other	2	Atha__AT4G14830, Atha__AT3G22530
HOG0005990	NA	Green	Plastid	3	Atha__AT4G27070, Atha__AT5G54810, Atha__AT5G28237
HOG0005991	NA	red	Mitochondria	1	Atha__AT4G31810, Atha__AT3G60510
HOG0005992	NA	red	Mitochondria	1	Atha__AT1G80720, Atha__AT1G15870, Atha__AT4G31930
HOG0005993	NA	gray	Other	2	Atha__AT3G58760
HOG0005996	NA	Green	Plastid	3	Atha__AT4G25700, Atha__AT5G52570
HOG0006000	NA	gray	Other	2	Atha__AT5G47650, Atha__AT4G25434
HOG0006001	NA	gray	Other	2	Atha__AT4G25430, Atha__AT5G51850, Atha__AT5G62170
HOG0006003	NA	red	Mitochondria	1	Atha__AT4G13780
HOG0006004	NA	gray	Other	2	Atha__AT4G24320, Atha__AT1G71850
HOG0006005	NA	gray	Other	2	Atha__AT4G36890, Atha__AT5G67230
HOG0006007	NA	gray	Other	2	Atha__AT4G00500, Atha__AT3G49050
HOG0006008	NA	Green	Plastid	3	Atha__AT1G03630, Atha__AT4G27440, Atha__AT5G54190
HOG0006011	NA	gray	Other	2	Atha__AT1G47900, Atha__AT1G19835
HOG0006015	NA	gray	Other	2	Atha__AT1G77840, Atha__AT1G36730
HOG0006016	NA	gray	Other	2	Atha__AT1G01950, Atha__AT1G12430
HOG0006023	NA	gray	Other	2	Atha__AT1G23250, Atha__AT1G23240, Atha__AT1G70670, Atha__AT1G70680
HOG0006024	NA	gray	Other	2	Atha__AT1G63700
HOG0006025	NA	gray	Other	2	Atha__AT1G55910
HOG0006026	NA	gray	Other	2	Atha__AT5G59520
HOG0006027	NA	gray	Other	2	Atha__AT1G54280, Atha__AT3G13900, Atha__AT1G17500, Atha__AT1G72700
HOG0006032	NA	Green	Plastid	3	Atha__AT1G66430
HOG0006034	NA	gray	Other	2	Atha__AT1G31480
HOG0006037	NA	gray	Other	2	Atha__AT1G77500, Atha__AT1G21740
HOG0006038	NA	gray	Other	2	Atha__AT1G69700, Atha__AT1G74520
HOG0006039	NA	Green	Plastid	3	Atha__AT5G43860
HOG0006041	NA	gray	Other	2	Atha__AT1G47740
HOG0006042	NA	gray	Other	2	Atha__AT5G19870, Atha__AT1G55240, Atha__AT1G55230
HOG0006045	NA	gray	Other	2	Atha__AT1G03770, Atha__AT5G44280
HOG0006046	NA	gray	Other	2	Atha__AT1G71800
HOG0006049	NA	gray	Other	2	Atha__AT1G16560
HOG0006050	NA	gray	Other	2	Atha__AT1G53400, Atha__AT1G16960, Atha__AT5G45740
HOG0006052	NA	gray	Other	2	Atha__AT1G27200
HOG0006054	NA	gray	Other	2	Atha__AT5G11890, Atha__AT1G17620
HOG0006056	NA	red	Mitochondria	1	Atha__AT1G07620, Atha__AT5G02390
HOG0006057	NA	Green	Plastid	3	Atha__AT1G18080, Atha__AT1G48630, Atha__AT3G18130
HOG0006059	NA	red	Mitochondria	1	Atha__AT1G23800, Atha__AT3G48000
HOG0006060	NA	gray	Other	2	Atha__AT1G04360, Atha__AT5G43420
HOG0006062	NA	gray	Other	2	Atha__AT1G44910, Atha__AT3G19670
HOG0006063	NA	gray	Other	2	Atha__AT1G15570, Atha__AT1G80370, Atha__AT5G25380, Atha__AT5G11300
HOG0006064	NA	gray	Other	2	Atha__AT1G70440, Atha__AT1G23550, Atha__AT3G47720, Atha__AT5G62520
HOG0006066	NA	red	Mitochondria	1	Atha__AT1G22830, Atha__AT1G71490
HOG0006067	NA	red	Mitochondria	1	Atha__AT1G71060
HOG0006068	NA	red	Mitochondria	1	Atha__AT1G77360
HOG0006074	NA	NA	NA	4	HOG0006074
HOG0006075	NA	NA	NA	4	HOG0006075
HOG0006077	NA	Green	Plastid	3	Atha__AT5G11520, Atha__AT1G62800, Atha__AT5G19550
HOG0006078	NA	gray	Other	2	Atha__AT1G13450, Atha__AT3G25990
HOG0006082	NA	gray	Other	2	Atha__AT3G09640, Atha__AT1G07890
HOG0006089	NA	gray	Other	2	Atha__AT1G78530
HOG0006092	NA	red	Mitochondria	1	Atha__AT5G46920
HOG0006094	NA	gray	Other	2	Atha__AT1G27440, Atha__AT5G61840
HOG0006095	NA	gray	Other	2	Atha__AT1G51130, Atha__AT3G20760
HOG0006097	NA	gray	Other	2	Atha__AT3G47340
HOG0006100	NA	gray	Other	2	Atha__AT3G18290
HOG0006101	NA	gray	Other	2	Atha__AT3G59320, Atha__AT3G59330, Atha__AT3G59340, Atha__AT3G59310
HOG0006105	NA	NA	NA	4	HOG0006105
HOG0006106	NA	red	Mitochondria	1	Atha__AT5G58970
HOG0006107	NA	gray	Other	2	Atha__AT3G54110
HOG0006109	NA	gray	Other	2	Atha__AT3G12610, Atha__AT3G20820, Atha__AT5G12940
HOG0006110	NA	Green	Plastid	3	Atha__AT3G25520, Atha__AT5G39740
HOG0006112	NA	gray	Other	2	Atha__AT3G05630, Atha__AT3G16785
HOG0006113	NA	gray	Other	2	Atha__AT3G53030, Atha__AT3G44850, Atha__AT5G22840
HOG0006114	NA	red	Mitochondria	1	Atha__AT3G22330, Atha__AT3G22310
HOG0006117	NA	gray	Other	2	Atha__AT3G26000
HOG0006124	NA	gray	Other	2	Atha__AT3G56100, Atha__AT3G51740
HOG0006125	NA	gray	Other	2	Atha__AT3G57660
HOG0006129	NA	gray	Other	2	Atha__AT5G02630, Atha__AT3G09570, Atha__AT5G18520
HOG0006131	NA	gray	Other	2	Atha__AT5G42700, Atha__AT3G19184
HOG0006133	NA	gray	Other	2	Atha__AT3G55270
HOG0006134	NA	gray	Other	2	Atha__AT5G16380, Atha__AT3G07460, Atha__AT3G07470
HOG0006135	NA	gray	Other	2	Atha__AT5G04310, Atha__AT3G53190
HOG0006136	NA	gray	Other	2	Atha__AT3G16360
HOG0006137	NA	gray	Other	2	Atha__AT3G26720, Atha__AT5G13980
HOG0006144	NA	gray	Other	2	Atha__AT3G43850, Atha__AT5G21940
HOG0006146	NA	NA	NA	4	HOG0006146
HOG0006148	NA	gray	Other	2	Atha__AT3G13230
HOG0006149	NA	gray	Other	2	Atha__AT3G11200, Atha__AT5G05610
HOG0006151	NA	gray	Other	2	Atha__AT3G01300, Atha__AT5G15080
HOG0006156	NA	Green	Plastid	3	Atha__AT3G62030
HOG0006157	NA	Green	Plastid	3	Atha__AT5G13120
HOG0006158	NA	gray	Other	2	Atha__AT3G06080, Atha__AT5G19160
HOG0006162	NA	gray	Other	2	Atha__AT3G03770
HOG0006163	NA	gray	Other	2	Atha__AT3G15470, Atha__AT5G54200
HOG0006164	NA	gray	Other	2	Atha__AT3G30390, Atha__AT5G38820
HOG0006165	NA	gray	Other	2	Atha__AT3G20890
HOG0006166	NA	gray	Other	2	Atha__AT5G66010
HOG0006168	NA	gray	Other	2	Atha__AT5G58350, Atha__AT3G51630
HOG0006169	NA	Green	Plastid	3	Atha__AT3G05590, Atha__AT5G27850
HOG0006170	NA	Green	Plastid	3	Atha__AT5G25510
HOG0006171	NA	gray	Other	2	Atha__AT5G57800
HOG0006174	NA	gray	Other	2	Atha__AT5G67320
HOG0006176	NA	red	Mitochondria	1	Atha__AT5G02810, Atha__AT5G60100
HOG0006177	NA	gray	Other	2	Atha__AT5G19480, Atha__AT5G12230
HOG0006179	NA	gray	Other	2	Atha__AT5G18860, Atha__AT5G18890
HOG0006184	NA	gray	Other	2	Atha__AT5G47920, Atha__AT5G13880
HOG0006186	NA	gray	Other	2	Atha__AT5G07120, Atha__AT5G58440, Atha__AT5G37050
HOG0006189	NA	gray	Other	2	Atha__AT5G48230, Atha__AT5G47720
HOG0006190	NA	red	Mitochondria	1	Atha__AT5G07320, Atha__AT5G61810, Atha__AT5G51050
HOG0006191	NA	gray	Other	2	Atha__AT5G02010, Atha__AT5G05940
HOG0006193	NA	Green	Plastid	3	Atha__AT5G16010
HOG0006236	NA	gray	Other	2	Atha__AT2G31370, Atha__AT1G06070
HOG0006239	NA	gray	Other	2	Atha__AT2G16960, Atha__AT2G16953, Atha__AT2G16950
HOG0006240	NA	NA	NA	4	HOG0006240
HOG0006241	NA	Green	Plastid	3	Atha__AT2G18950
HOG0006244	NA	gray	Other	2	Atha__AT5G12430, Atha__AT2G41520
HOG0006247	NA	gray	Other	2	Atha__AT2G16270, Atha__AT1G16630
HOG0006251	NA	gray	Other	2	Atha__AT4G17800, Atha__AT2G35270
HOG0006252	NA	gray	Other	2	Atha__AT2G36530
HOG0006257	NA	gray	Other	2	Atha__AT2G19120, Atha__AT4G30100
HOG0006258	NA	gray	Other	2	Atha__AT2G19260
HOG0006261	NA	gray	Other	2	Atha__AT2G16660, Atha__AT4G34950
HOG0006264	NA	NA	NA	4	HOG0006264
HOG0006265	NA	red	Mitochondria	1	Atha__AT2G26800
HOG0006269	NA	gray	Other	2	Atha__AT2G47310
HOG0006270	NA	gray	Other	2	Atha__AT4G16280
HOG0006278	NA	Green	Plastid	3	Atha__AT2G35040
HOG0006279	NA	gray	Other	2	Atha__AT2G34900, Atha__AT3G52280
HOG0006280	NA	gray	Other	2	Atha__AT2G38960, Atha__AT1G72280
HOG0006281	NA	gray	Other	2	Atha__AT4G11110, Atha__AT2G46340
HOG0006283	NA	gray	Other	2	Atha__AT2G44140, Atha__AT3G59950
HOG0006284	NA	gray	Other	2	Atha__AT1G23205, Atha__AT1G70720, Atha__AT2G01610, Atha__AT1G14890
HOG0006286	NA	gray	Other	2	Atha__AT2G23460, Atha__AT4G34390
HOG0006289	NA	gray	Other	2	Atha__AT2G38740
HOG0006291	NA	gray	Other	2	Atha__AT2G29580, Atha__AT1G07360
HOG0006292	NA	gray	Other	2	Atha__AT2G28890, Atha__AT1G07630
HOG0006293	NA	gray	Other	2	Atha__AT2G36220, Atha__AT3G52710
HOG0006295	NA	Green	Plastid	3	Atha__AT2G20670, Atha__AT4G32480
HOG0006297	NA	gray	Other	2	Atha__AT2G16090, Atha__AT3G27720, Atha__AT3G27710, Atha__AT4G34370
HOG0006298	NA	gray	Other	2	Atha__AT2G28240, Atha__AT1G08060
HOG0006299	NA	gray	Other	2	Atha__AT3G08620, Atha__AT2G38610
HOG0006300	NA	red	Mitochondria	1	Atha__AT2G17650, Atha__AT1G20560
HOG0006301	NA	gray	Other	2	Atha__AT2G35940
HOG0006306	NA	gray	Other	2	Atha__AT2G17230
HOG0006307	NA	gray	Other	2	Atha__AT2G32990
HOG0006308	NA	gray	Other	2	Atha__AT3G09450, Atha__AT2G28780
HOG0006309	NA	gray	Other	2	Atha__AT2G36490, Atha__AT5G04560
HOG0006313	NA	gray	Other	2	Atha__AT4G37220, Atha__AT2G15970, Atha__AT3G50830
HOG0006315	NA	Green	Plastid	3	Atha__AT2G43940, Atha__AT2G43920, Atha__AT2G43910
HOG0006317	NA	gray	Other	2	Atha__AT3G54270, Atha__AT2G35840, Atha__AT3G52340, Atha__AT1G51420
HOG0006318	NA	gray	Other	2	Atha__AT2G42260, Atha__AT3G57860
HOG0006320	NA	gray	Other	2	Atha__AT2G40470
HOG0006321	NA	gray	Other	2	Atha__AT2G41540, Atha__AT3G07690
HOG0006322	NA	gray	Other	2	Atha__AT1G30420, Atha__AT1G30410, Atha__AT2G34660, Atha__AT1G30400
HOG0006323	NA	gray	Other	2	Atha__AT5G66790, Atha__AT2G23450
HOG0006324	NA	gray	Other	2	Atha__AT2G45880, Atha__AT4G00490
HOG0006325	NA	gray	Other	2	Atha__AT2G47070, Atha__AT3G60030
HOG0006326	NA	gray	Other	2	Atha__AT2G25430, Atha__AT4G32285
HOG0006327	NA	gray	Other	2	Atha__AT2G02480, Atha__AT1G14460
HOG0006329	NA	red	Mitochondria	1	Atha__AT2G35795, Atha__AT3G09700
HOG0006333	NA	gray	Other	2	Atha__AT2G25190, Atha__AT5G25170, Atha__AT1G80690
HOG0006342	NA	gray	Other	2	Atha__AT4G22320, Atha__AT5G55210
HOG0006345	NA	gray	Other	2	Atha__AT4G14100, Atha__AT3G23760
HOG0006348	NA	gray	Other	2	Atha__AT4G00755
HOG0006349	NA	gray	Other	2	Atha__AT4G21160, Atha__AT4G05330
HOG0006352	NA	gray	Other	2	Atha__AT4G04470
HOG0006353	NA	gray	Other	2	Atha__AT4G14305
HOG0006354	NA	gray	Other	2	Atha__AT4G38760
HOG0006356	NA	gray	Other	2	Atha__AT4G25990, Atha__AT5G57180
HOG0006357	NA	gray	Other	2	Atha__AT5G43560, Atha__AT1G04300, Atha__AT5G52330, Atha__AT4G16045
HOG0006359	NA	gray	Other	2	Atha__AT1G63720, Atha__AT4G25620, Atha__AT5G52430
HOG0006361	NA	gray	Other	2	Atha__AT4G19120, Atha__AT1G31850
